Designator,Footprint,Quantity,Value,LCSC Part #
J6,Loopy_Makeshift_9x5_P2.0mm_SpringContacts_Array_CARTFRONT,1,Loopy_Cart_Side,
"J7, J8",Loopy_Makeshift_SpringContacts_F_SMD_Pad_02x06,2,Conn_02x06_Counter_Clockwise,
