Designator,Mid X,Mid Y,Rotation,Layer
J1,48.33,24.16,90.0,top
J2,48.295,1.3,90.0,top
J3,29.5,12.275,90.0,top
J4,67.06,12.275,90.0,top
J5,41.83,34.5,0.0,top
J6,54.83,-8.401645,0.0,top
J7,29.5,-30.689007,90.0,top
J8,67.06,-30.689007,90.0,top
